Name,ASCII Name,Population,Coordinates
Zmeyskaya,Zmeyskaya,6533,"43.33617, 44.15733"
Zamishevo,Zamishevo,1316,"52.5395, 32.0129"
Zagoryanskiy,Zagoryanskiy,7514,"55.9325, 37.95806"
Vyazniki,Vyazniki,39243,"56.24227, 42.14911"
Vyatskiye Polyany,Vyatskiye Polyany,39534,"56.22912, 51.06098"
Vilenka,Vilenka,1224,"54.2693, 38.91663"
Ves’yegonsk,Ves'yegonsk,8200,"58.66769, 37.26365"
Vereya,Vereya,3900,"55.61472, 38.03917"
Urmary,Urmary,6256,"55.67894, 47.94396"
Tuchkovo,Tuchkovo,16826,"55.60111, 36.46806"
Tsagan Aman,Tsagan Aman,5769,"47.5639, 46.7218"
Syktyvkar,Syktyvkar,245083,"61.664, 50.815"
Sviyazhsk,Sviyazhsk,3500,"55.77329, 48.66051"
Sulak,Sulak,6800,"43.27342, 47.51463"
Strizhi,Strizhi,3881,"58.465, 49.261"
Stolbovaya,Stolbovaya,5142,"55.25021, 37.49249"
Starozhilovo,Starozhilovo,5147,"54.23296, 39.9093"
Sosnogorsk,Sosnogorsk,29343,"63.60229, 53.88175"
Solginskiy,Solginskiy,1802,"61.05, 41.34278"
Shchëkino,Shchekino,60700,"54.00734, 37.50647"
Sharkan,Sharkan,6523,"57.29885, 53.87122"
Serzhen’-Yurt,Serzhen'-Yurt,4773,"43.12265, 45.98583"
Selezni,Selezni,4603,"52.80415, 41.23961"
Sapozhok,Sapozhok,4283,"53.94272, 40.68286"
Samara,Samara,1163399,"53.20007, 50.15"
Safonovo,Safonovo,4578,"69.06043, 33.29523"
Rumyantsevo,Rumyantsevo,7345,"55.97278, 36.53417"
Rudnya,Rudnya,9615,"54.94712, 31.09228"
Rasskazovo,Rasskazovo,45957,"52.66384, 41.88915"
Rabotki,Rabotki,2151,"56.04147, 44.60265"
Pyra,Pyra,1991,"56.29527, 43.35274"
Priozërsk,Priozersk,18300,"61.04027, 30.13915"
Primorsk,Primorsk,2222,"54.73905, 20.00553"
Porech’ye-Rybnoye,Porech'ye-Rybnoye,1949,"57.09805, 39.38354"
Podyuga,Podyuga,2977,"61.095, 40.86472"
Plastunovskaya,Plastunovskaya,9604,"45.29432, 39.26505"
Peski,Peski,3705,"55.21626, 38.76262"
Pervomaysk,Pervomaysk,14810,"54.8686, 43.80347"
Pavlovka,Pavlovka,5944,"52.68966, 47.14046"
Pankovka,Pankovka,9828,"58.50004, 31.1999"
Novyy Yegorlyk,Novyy Yegorlyk,3739,"46.3927, 41.87162"
Novyye Burasy,Novyye Burasy,6469,"52.13236, 46.07144"
Nesterov,Nesterov,5071,"54.63056, 22.57139"
Nerekhta,Nerekhta,25352,"57.45795, 40.57169"
Nekrasovskiy,Nekrasovskiy,11740,"56.08667, 37.49753"
Neftegorsk,Neftegorsk,4785,"44.3658, 39.7078"
Navoloki,Navoloki,10951,"57.46572, 41.96344"
Alpatovo,Alpatovo,5192,"43.7028, 45.24154"
Naberezhnyye Chelny,Naberezhnyye Chelny,509870,"55.72545, 52.41122"
Muchkapskiy,Muchkapskiy,7814,"51.85133, 42.47175"
Menzelinsk,Menzelinsk,16858,"55.72706, 53.10258"
Melikhovo,Melikhovo,3821,"55.1144, 37.64827"
Melenki,Melenki,15902,"55.33579, 41.62747"
Medyn,Medyn,7791,"54.96917, 35.85861"
Mayskiy,Mayskiy,0,"43.6414, 44.03851"
Mayrtup,Mayrtup,10778,"43.20348, 46.13215"
Maromitsa,Maromitsa,1832,"59.86828, 48.01227"
Maksatikha,Maksatikha,9441,"57.79695, 35.88254"
Lyubuchany,Lyubuchany,3537,"55.25088, 37.54988"
Lyambir’,Lyambir',8274,"54.28172, 45.12494"
Luzhniki,Luzhniki,30000,"55.71599, 37.55376"
Lukino,Lukino,0,"56.85933, 28.46426"
Lovlinskaya,Lovlinskaya,2638,"45.51611, 40.24"
Livenka,Livenka,4154,"50.449, 38.2959"
Likhobory,Likhobory,50000,"55.85, 37.56667"
Ladushkin,Ladushkin,3928,"54.57025, 20.17099"
Kyakhulay,Kyakhulay,5731,"42.96839, 47.48301"
Kuznechnoye,Kuznechnoye,4714,"61.1153, 29.87535"
Kuzhorskaya,Kuzhorskaya,3556,"44.67512, 40.31032"
Kukoboy,Kukoboy,1053,"58.70089, 39.91427"
Kresttsy,Kresttsy,9737,"58.24782, 32.51796"
Krasnovka,Krasnovka,3966,"48.81769, 40.09226"
Krasnogvardeyskoye,Krasnogvardeyskoye,8183,"50.64922, 38.4036"
Konobeyevo,Konobeyevo,10434,"55.40776, 38.66261"
Komsomolets,Komsomolets,3143,"44.01972, 43.56972"
Knyaginino,Knyaginino,6923,"55.82213, 45.03482"
Klimovsk,Klimovsk,55206,"55.36352, 37.52984"
Khomutovka,Khomutovka,4936,"51.9207, 34.5619"
Kazaki,Kazaki,3227,"52.62484, 38.26488"
Kantyshevo,Kantyshevo,17363,"43.22824, 44.63322"
Kamyshla,Kamyshla,4789,"54.11693, 52.14262"
Ikryanoye,Ikryanoye,9880,"46.09292, 47.72965"
Ibresi,Ibresi,9113,"55.3011, 47.038"
Abram Mys,Abram Mys,2000,"68.97839, 33.01926"
Gorbunki,Gorbunki,7566,"59.81307, 29.98478"
Glushkovo,Glushkovo,5618,"51.34066, 34.63915"
Elkhot,Elkhot,0,"43.3395, 44.20486"
Devitsa,Devitsa,4389,"51.63505, 38.95607"
Derbent,Derbent,105965,"42.06622, 48.28759"
Churovichi,Churovichi,1349,"52.1693, 31.9926"
Cherepet’,Cherepet',2070,"54.11784, 36.37877"
Chekhov,Chekhov,75643,"55.14552, 37.46193"
Chechen-Aul,Chechen-Aul,7134,"43.2, 45.78889"
Chashnikovo,Chashnikovo,3300,"56.03333, 37.16667"
Orekhovo-Borisovo Yuzhnoye,Orekhovo-Borisovo Yuzhnoye,0,"55.63333, 37.73333"
Bol’shoye Murashkino,Bol'shoye Murashkino,7000,"55.78261, 44.77541"
Bogorodskoye,Bogorodskoye,103000,"55.81353, 37.71617"
Beslan,Beslan,35604,"43.19277, 44.53274"
Belëv,Belev,15300,"53.81217, 36.13339"
Barybino,Barybino,5000,"55.26768, 37.89333"
Ashukino,Ashukino,6310,"56.16667, 37.95"
Arkhangel’sk,Arkhangel'sk,349742,"64.54717, 40.55291"
Ardon’,Ardon',2775,"52.73524, 32.30857"
Ardatov,Ardatov,8710,"55.23923, 43.09557"
Andzhiyevskiy,Andzhiyevskiy,6755,"44.23889, 43.08556"
Altukhovo,Altukhovo,1908,"52.67559, 34.36703"
Alakurtti,Alakurtti,6293,"66.9672, 30.34905"
Afanas’yevo,Afanas'yevo,0,"58.86548, 53.25804"
Svetlyy,Svetlyy,12222,"51.6737, 45.63054"
Udarnyy,Udarnyy,1142,"44.34917, 42.50528"
Putëvka,Putevka,3656,"53.25833, 34.28778"
Khankala,Khankala,7925,"43.30212, 45.75564"
Metrogorodok,Metrogorodok,50000,"55.80961, 37.78739"
Vasyl'evsky Ostrov,Vasyl'evsky Ostrov,203058,"59.94091, 30.25377"
Kuzucubelen,Kuzucubelen,0,"36.83996, 34.43765"
Kozaklı,Kozakli,0,"39.22139, 34.85056"
Kovancılar,Kovancilar,22976,"38.71882, 39.86268"
Konyaaltı,Konyaalti,0,"36.86644, 30.63031"
Konakpınar,Konakpinar,0,"38.90583, 37.29694"
Kocaköy,Kocakoy,6485,"38.28889, 40.49786"
Kayseri,Kayseri,1204641,"38.73222, 35.48528"
Kavak,Kavak,0,"39.29205, 37.48127"
Güneren,Guneren,3185,"36.73417, 39.08861"
Gülnar,Gulnar,12385,"36.34148, 33.39921"
Gözlükuyu,Goezluekuyu,1294,"38.18471, 34.10918"
Göreme,Goereme,6350,"38.6437, 34.83529"
Gazipaşa,Gazipasa,18371,"36.26942, 32.31792"
Erköklü,Erkoklu,1099,"37.86182, 41.14413"
Eğirdir,Egirdir,16891,"37.87462, 30.85042"
Duruca,Duruca,3846,"37.09267, 41.3103"
Çumra,Cumra,45657,"37.5732, 32.77446"
Çermik,Cermik,20975,"38.13538, 39.445"
Çatalçam,Catalcam,0,"39.97438, 38.84777"
Çağlayan,Caglayan,0,"39.58502, 39.68702"
Boğazören,Bogazoren,1323,"37.52749, 43.00892"
Başpınar,Baspinar,0,"39.19017, 38.68737"
Bağkonak,Bagkonak,0,"38.2175, 31.27222"
Bağarası,Bagarasi,0,"37.7071, 27.54875"
Altınkum,Altinkum,2000,"38.26374, 41.0625"
Alacahan,Alacahan,0,"39.10667, 37.57556"
Akarsu,Akarsu,5440,"37.22616, 41.05138"
Akcakışla,Akcakisla,0,"39.53818, 36.33626"
Kastal,Kastal,5637,"36.2476, 36.2409"
Uzunkavak,Uzunkavak,1013,"36.3524, 36.41952"
Koyunluca,Koyunluca,1028,"36.82278, 39.34333"
Sultanköy,Sultankoy,2708,"41.02139, 27.98861"
Silivri,Silivri,53167,"41.07393, 28.24644"
Pınarhisar,Pinarhisar,11180,"41.6271, 27.51481"
Pazaryolu,Pazaryolu,5878,"40.41142, 40.7678"
Yenikonak,Yenikonak,0,"41.87319, 34.60308"
Orhangazi,Orhangazi,51792,"40.48917, 29.30889"
Maçka,Macka,13078,"40.81072, 39.60465"
Küçükkumla,Kucukkumla,4578,"40.47047, 29.10152"
Keşap,Kesap,10047,"40.91032, 38.5013"
Kaymas,Kaymas,0,"40.9231, 30.26597"
Karacaköy,Karacakoy,0,"41.15126, 29.76935"
Gökçeada,Gokceada,7822,"40.20107, 25.90902"
Esençay,Esencay,0,"40.66806, 36.38028"
Elbeyli,Elbeyli,2569,"40.48611, 29.72472"
Çırçır,Circir,0,"40.055, 36.775"
Çarşıbaşı,Carsibasi,0,"41.08278, 39.38278"
Beşpınar,Bespinar,0,"41.13822, 35.21724"
Bayramören,Bayramoren,3049,"40.94329, 33.203"
Arpaçay,Arpacay,5126,"40.84522, 43.32747"
Akyurt,Akyurt,26572,"40.13512, 33.08614"
Ağva,Agva,8750,"41.13806, 29.85667"
Bağlar,Baglar,0,"37.91375, 40.20584"
Karakurt,Karakurt,2707,"45.64063, 28.70511"
Stara Zhadova,Stara Zhadova,2392,"48.2, 25.51667"
Yasky,Yasky,4145,"46.50966, 30.07587"
Yahilnytsia,Yahilnytsia,1200,"48.94145, 25.749"
Vvedenka,Vvedenka,2628,"49.82372, 36.50312"
Vilnohirsk,Vilnohirsk,22079,"48.48416, 34.01708"
Vikno,Vikno,1592,"48.57129, 25.97255"
Velykyy Kuchuriv,Velykyy Kuchuriv,1422,"48.1901, 25.89593"
Vashkivtsi,Vashkivtsi,3662,"48.4094, 27.13221"
Dovzhansk,Dovzhansk,62691,"48.08964, 39.65243"
Stara Tsarychanka,Stara Tsarychanka,1831,"46.28873, 29.86709"
Solonka,Solonka,3391,"49.75621, 24.01028"
Shyroke,Shyroke,1374,"45.96499, 30.0903"
Sloboda-Komarivtsi,Sloboda-Komarivtsi,1120,"48.22842, 25.62757"
Sevastopol,Sevastopol,547820,"44.60795, 33.52134"
Serhiivka,Serhiivka,1420,"46.00055, 29.95801"
Serby,Serby,1920,"48.10061, 29.0646"
Romny,Romny,38305,"50.75104, 33.47471"
Ralivka,Ralivka,3926,"49.49982, 23.23739"
P'yatypill'ya,P'yatypill'ya,3158,"48.0159, 38.09979"
Pidbuzh,Pidbuzh,2739,"49.33194, 23.25117"
Onokivtsi,Onokivtsi,2187,"48.65763, 22.34183"
Okunevka,Okunevka,522,"45.36855, 32.76357"
Okhotskoye,Okhotskoye,1328,"45.48612, 34.86401"
Nechayane,Nechayane,1874,"46.94416, 31.55113"
Molodohvardiisk,Molodohvardiisk,22449,"48.34511, 39.65244"
Molochansk,Molochansk,6099,"47.20405, 35.59789"
Mizoch,Mizoch,3365,"50.4, 26.15"
Maly Mayak,Maly Mayak,2298,"44.61356, 34.36469"
Muromskoye,Muromskoye,755,"45.09051, 34.849"
Mahdalynivka,Mahdalynivka,6119,"48.91204, 34.91395"
Ladan,Ladan,6719,"50.51959, 32.58178"
Kutsurub,Kutsurub,2136,"46.65299, 31.61886"
Kushuhum,Kushuhum,7886,"47.70963, 35.21644"
Kurakhovo,Kurakhovo,20700,"47.98522, 37.2821"
Hrushivka,Hrushivka,1187,"48.18022, 25.96726"
Krymskoye,Krymskoye,1822,"45.18836, 33.80106"
Krynychne,Krynychne,4348,"45.53755, 28.66618"
Krynychky,Krynychky,3970,"48.37438, 34.46202"
Kremenchuk,Kremenchuk,217710,"49.06253, 33.40484"
Krasnohorivka,Krasnohorivka,14666,"48.00603, 37.50968"
Kotlovyna,Kotlovyna,2643,"45.50692, 28.57438"
Komarno,Komarno,3707,"49.62785, 23.69866"
Kobyletska Polyana,Kobyletska Polyana,3483,"48.06085, 24.0719"
Podviryvka,Podviryvka,2310,"48.31969, 26.78609"
Kaniv,Kaniv,23503,"49.75187, 31.47003"
Kamiani Potoky,Kamiani Potoky,3662,"48.98, 33.52557"
Kalinino,Kalinino,1120,"45.59521, 34.2203"
Hirnyk,Hirnyk,2820,"50.33148, 24.19538"
Horishni Sherivtsi,Horishni Sherivtsi,2793,"48.39671, 25.95269"
Drabiv,Drabiv,6358,"49.95891, 32.15028"
Chornivka,Chornivka,2364,"48.41751, 26.01216"
Bytkiv,Bytkiv,4354,"48.63092, 24.47118"
Boikivshchyna,Boikivshchyna,1580,"49.91035, 32.25007"
Martynivske,Martynivske,2654,"47.47077, 31.27731"
Berezivka,Berezivka,9644,"47.20037, 30.90943"
Bilohirya,Bilohirya,5244,"49.99894, 26.41442"
Bilyne,Bilyne,2074,"47.87478, 29.62535"
Bilyky,Bilyky,4913,"49.25147, 34.2706"
Bazaliya,Bazaliya,1484,"49.71106, 26.46594"
Barativka,Barativka,1088,"46.94606, 32.77938"
Aromatnoye,Aromatnoye,1772,"45.03678, 34.39921"
Valea Izvoarelor,Valea Izvoarelor,1130,"46.43855, 24.37597"
Urleta,Urleta,2640,"45.08732, 25.79354"
Turnu Roşu,Turnu Rosu,2578,"45.63333, 24.3"
Tudor Vladimirescu,Tudor Vladimirescu,1121,"43.94761, 24.90616"
Topraisar,Topraisar,5329,"44.01667, 28.45"
Tântava,Tantava,1334,"44.41511, 25.8245"
Tichileşti,Tichilesti,4270,"45.11667, 27.9"
Tăut,Taut,1001,"46.7199, 21.83845"
Tătărăni,Tatarani,734,"46.69422, 27.96443"
Taşca,Tasca,2682,"46.9, 26.01667"
Tanacu,Tanacu,5986,"46.68333, 27.81667"
Tămădău Mare,Tamadau Mare,2579,"44.46667, 26.57"
Tălmăcel,Talmacel,1381,"45.64712, 24.2427"
Sviniţa,Svinita,1105,"44.49972, 22.10611"
Ştefan cel Mare,Stefan cel Mare,3386,"46.98482, 26.5107"
Şoimari,Soimari,3127,"45.18333, 26.2"
Slobozia-Mândra,Slobozia-Mandra,4159,"43.91667, 24.7"
Șipotu,Sipotu,2241,"45.04076, 26.01714"
Şintereag,Sintereag,3806,"47.18333, 24.3"
Sânpetru Mare,Sanpetru Mare,5782,"46.04515, 20.81834"
Ștefan Vodă,Stefan Voda,1108,"46.31692, 26.5125"
Scobinţi,Scobinti,7618,"47.38333, 26.93333"
Șanț,Sant,2909,"47.45, 24.9"
Sănduleni,Sanduleni,4287,"46.45, 26.73333"
Sadu,Sadu,2430,"45.66667, 24.18333"
Rânzești,Ranzesti,1203,"46.22101, 28.09468"
Reghiu,Reghiu,2677,"45.78333, 26.83333"
Rediu,Rediu,5182,"46.75598, 26.56254"
Rediu,Rediu,3855,"45.71667, 27.83333"
Rădăuți,Radauti,23822,"47.85, 25.91667"
Racoviţa,Racovita,3260,"45.69833, 21.63583"
Răchita,Rachita,1229,"45.83827, 22.10615"
Răcarii de Sus,Racarii de Sus,1187,"44.53539, 23.55746"
Pui,Pui,4680,"45.51667, 23.1"
Pufeşti,Pufesti,4179,"46.0, 27.2"
Porumbenii Mari,Porumbenii Mari,1203,"46.27549, 25.1362"
Popricani,Popricani,6752,"47.3, 27.51667"
Poduri,Poduri,7937,"46.46667, 26.53333"
Podoleni,Podoleni,1184,"45.7483, 27.44661"
Plugari,Plugari,3694,"47.48333, 27.1"
Ploscuțeni,Ploscuteni,2557,"46.07859, 27.27032"
Piatra Olt,Piatra Olt,6313,"44.36667, 24.26667"
Petrăchioaia,Petrachioaia,2866,"44.58099, 26.31269"
Peștișu Mare,Pestisu Mare,1293,"45.80192, 22.92704"
Oituz,Oituz,9596,"46.2, 26.61667"
Ocna Dejului,Ocna Dejului,2246,"47.11581, 23.85934"
Obârşia-Cloşani,Obarsia-Closani,0,"45.01667, 22.68333"
Nou,Nou,1606,"45.83333, 24.28333"
Noşlac,Noslac,1992,"46.4, 23.93333"
Negreni,Negreni,1387,"44.56848, 24.59535"
Negoiești,Negoiesti,1858,"44.87393, 25.9816"
Naipu,Naipu,1923,"44.15187, 25.76175"
Movila,Movila,2195,"44.55, 27.7"
Moldoviţa,Moldovita,4985,"47.68333, 25.53333"
Moftinu Mic,Moftinu Mic,1226,"47.68669, 22.60054"
Moara Domnească,Moara Domneasca,1247,"46.71448, 27.7589"
Mârşa,Marsa,2745,"44.37417, 25.55694"
Călăraşi,Calarasi,6687,"44.2051, 27.31356"
Mănăstirea,Manastirea,1033,"46.95, 27.2"
Milişăuţi,Milisauti,8399,"47.78333, 26.0"
Mihăileşti,Mihailesti,3719,"44.91667, 26.66667"
Mehadica,Mehadica,891,"45.03333, 22.26667"
Medieşu Aurit,Mediesu Aurit,7122,"47.78333, 23.15"
Maglavit,Maglavit,5753,"44.03333, 23.1"
Măgherani,Magherani,2681,"46.56667, 24.9"
Lunca Corbului,Lunca Corbului,3350,"44.68391, 24.75855"
Lunca,Lunca,1202,"47.22765, 26.29979"
Luminiș,Luminis,2689,"46.81332, 26.45275"
Letea Veche,Letea Veche,4893,"46.55, 26.95"
Lehliu,Lehliu,2953,"44.46667, 26.81667"
Jupânești,Jupanesti,1123,"45.06667, 24.85"
Jariştea,Jaristea,4088,"45.78333, 27.06667"
Jabenița,Jabenita,1128,"46.78407, 24.79671"
Izvoare,Izvoare,1146,"46.91013, 26.47014"
Iscroni,Iscroni,1987,"45.37794, 23.34201"
Imper,Imper,2936,"46.21667, 26.1"
Iloviţa,Ilovita,1397,"44.75639, 22.47278"
Iclod,Iclod,4351,"46.98333, 23.8"
Ianoșda,Ianosda,1081,"46.83791, 21.80778"
Ianca,Ianca,4347,"43.78333, 24.18333"
Herla,Herla,1318,"47.44286, 26.01254"
Helegiu,Helegiu,7195,"46.35, 26.75"
Hangu,Hangu,4046,"47.05, 26.03333"
Gurba,Gurba,1350,"46.46756, 21.78789"
Gura Padinii,Gura Padinii,1620,"43.75704, 24.31615"
Groși,Grosi,1002,"47.04525, 22.47965"
Greci,Greci,1508,"44.55, 23.11667"
Goştinari-Văcăreşti,Gostinari-Vacaresti,2720,"44.18333, 26.21667"
Giulvăz,Giulvaz,2992,"45.54889, 20.98444"
Girișu de Criș,Girisu de Cris,1482,"47.06416, 21.76108"
Gârcov,Garcov,2684,"43.7591, 24.61577"
Gâlgău,Galgau,838,"47.28183, 23.70157"
Ghidigeni,Ghidigeni,6294,"46.05, 27.5"
Onesti,Onesti,0,"46.25, 26.75"
Găgeşti,Gagesti,2252,"46.33333, 27.96667"
Găgești,Gagesti,1492,"45.85598, 27.0554"
Fulga de Sus,Fulga de Sus,3819,"44.9, 26.45"
Dumbrava,Dumbrava,2820,"45.81667, 22.11667"
Dragomireşti,Dragomiresti,8194,"44.91667, 25.33333"
Doştat,Dostat,1049,"45.96667, 23.85"
Doftana,Doftana,6777,"45.15, 25.8"
Dobrosloveni,Dobrosloveni,3821,"44.18333, 24.36667"
Dobroeşti,Dobroesti,6599,"44.45, 26.18333"
Dobârceni,Dobarceni,2897,"47.81667, 27.06667"
Denta,Denta,3152,"45.35389, 21.24917"
Deleni,Deleni,1890,"46.3536, 26.77628"
Dărăşti-Ilfov,Darasti-Ilfov,2972,"44.30889, 26.01833"
Creţeni,Creteni,2602,"44.68333, 24.18333"
Creaca,Creaca,2987,"47.2, 23.25"
Cozma,Cozma,632,"46.81667, 24.53333"
Cornești,Cornesti,1324,"46.29218, 24.21277"
Corbu,Corbu,5180,"44.38333, 28.65"
Cobadin,Cobadin,8979,"44.08333, 28.21667"
Cloșani,Closani,1121,"45.06897, 22.8025"
Ciugheș,Ciughes,2040,"46.5222, 26.1197"
Ciucsângeorgiu,Ciucsangeorgiu,4821,"46.31667, 25.95"
Cicănești,Cicanesti,506,"45.24601, 24.60526"
Ciocăneşti,Ciocanesti,5354,"44.6, 25.85"
Ciceu-Mihăiești,Ciceu-Mihaiesti,872,"47.18568, 23.9748"
Chițorani,Chitorani,1146,"44.97458, 26.11895"
Chirpăr,Chirpar,1448,"45.9, 24.6"
Chiliile,Chiliile,774,"45.45, 26.58333"
Chiheru de Jos,Chiheru de Jos,1720,"46.68333, 24.88333"
Cherechiu,Cherechiu,2437,"47.38333, 22.13333"
Didești,Didesti,531,"44.21667, 24.88333"
Cepleniţa,Ceplenita,4533,"47.38333, 27.01667"
Cavadineşti,Cavadinesti,3547,"46.06667, 28.01694"
Căuaş,Cauas,2497,"47.56667, 22.55"
Cătina,Catina,1328,"45.00984, 25.78395"
Catane,Catane,0,"43.92671, 23.41178"
Castrele Traiane,Castrele Traiane,1262,"44.22865, 23.13921"
C.a. Rosetti,C.a. Rosetti,959,"45.04622, 27.1664"
Călugăreni,Calugareni,1425,"45.08333, 26.38333"
Căiuţi-Sat,Caiuti-Sat,5357,"46.18333, 26.93333"
Budăi,Budai,1089,"47.21773, 27.22282"
Breaza de Jos,Breaza de Jos,2297,"45.17125, 25.67571"
Brăeşti,Braesti,3289,"47.15, 27.1"
Boldu,Boldu,2518,"45.33333, 27.23333"
Boiu,Boiu,1544,"46.26632, 24.87285"
Boişoara,Boisoara,1653,"45.43333, 24.38333"
Boinești,Boinesti,1713,"47.91567, 23.35117"
Bogata,Bogata,1915,"46.45, 24.06667"
Berezeni,Berezeni,5590,"46.37611, 28.14778"
Beltiug,Beltiug,3233,"47.55, 22.85"
Beiuş,Beius,10721,"46.66667, 22.35"
Batoş,Batos,4107,"46.88333, 24.66667"
Bărăști,Barasti,1099,"45.25369, 24.59651"
Bălcești,Balcesti,1014,"45.10516, 23.6329"
Bălăuşeri,Balauseri,4968,"46.4, 24.68333"
Băileşti,Bailesti,19599,"44.01667, 23.35"
Băicoi,Baicoi,19869,"45.03333, 25.85"
Baia de Criş,Baia de Cris,2987,"46.16667, 22.71667"
Apostolache,Apostolache,2311,"45.13333, 26.26667"
Anina,Anina,8689,"45.07944, 21.85694"
Agigea,Agigea,5405,"44.09258, 28.61079"
Adea,Adea,1025,"46.55511, 21.58433"
Adamclisi,Adamclisi,2247,"44.08333, 27.95"
1 Decembrie,1 Decembrie,7817,"44.29083, 26.05806"
Sector 6,Sector 6,367760,"44.43579, 26.01649"
Ugrinovci,Ugrinovci,3278,"44.87635, 20.18763"
Topola,Topola,0,"44.25417, 20.6825"
Ražanj,Razanj,0,"43.67222, 21.54944"
Kuršumlija,Kursumlija,0,"43.13826, 21.27339"
Krčedin,Krcedin,2877,"45.13871, 20.13308"
Kovačica,Kovacica,7357,"45.11167, 20.62139"
Farkaždin,Farkazdin,1662,"45.19172, 20.47239"
Despotovac,Despotovac,0,"44.0925, 21.44694"
Čukarica,Cukarica,0,"44.7825, 20.42028"
Čenta,Centa,3192,"45.10814, 20.38947"
Mjällby,Mjaellby,1319,"56.05, 14.68333"
Lindö,Lindoe,4763,"58.61667, 16.25"
Lenhovda,Lenhovda,1762,"57.0, 15.28333"
Kimstad,Kimstad,1469,"58.54967, 15.96296"
Hyllinge,Hyllinge,2287,"56.1, 12.85"
Hölö,Holo,1199,"59.28333, 18.66667"
Hällabrottet,Hallabrottet,1806,"59.11667, 15.2"
Häljarp,Haeljarp,3134,"55.85, 12.91667"
Garphyttan,Garphyttan,1613,"59.30429, 14.94623"
Bjärnum,Bjaernum,2755,"56.29032, 13.71128"
Arboga,Arboga,10841,"59.39387, 15.83882"
Zgornje Bitnje,Zgornje Bitnje,1480,"46.22, 14.33667"
Šmartno pri Litiji,Smartno pri Litiji,1444,"46.04444, 14.84417"
Šmarjeta,Smarjeta,326,"45.88333, 15.25"
Pragersko,Pragersko,1150,"46.39667, 15.66"
Notranje Gorice,Notranje Gorice,1950,"45.9875, 14.39889"
Fram,Fram,1024,"46.456, 15.63007"
Dekani,Dekani,1586,"45.54972, 13.81361"
Borovnica,Borovnica,2162,"45.91583, 14.36306"
Solkan,Solkan,3227,"45.97139, 13.64944"
Logatec,Logatec,8942,"45.91444, 14.22583"
Jagodje,Jagodje,2225,"45.52845, 13.64721"
Sečovce,Secovce,8453,"48.70074, 21.66104"
Nová Lesná,Nova Lesna,1520,"49.12253, 20.26737"
Kežmarok,Kezmarok,16381,"49.13571, 20.43352"
Sládkovičovo,Sladkovicovo,5219,"48.20137, 17.63852"
Olešná,Olesna,1929,"49.4236, 18.67624"
Levice,Levice,37574,"48.21563, 18.60705"
Kolárovo,Kolarovo,10546,"47.92294, 17.98467"
Handlová,Handlova,18018,"48.7276, 18.76012"
Bratislava - Vajnory,Bratislava - Vajnory,5484,"48.20563, 17.20759"
Salat,Salat,6677,"37.84172, 40.8865"
Yiğityolu,Yigityolu,0,"35.99563, 36.26004"
Yenifakılı,Yenifakili,11470,"39.21142, 35.00036"
Yazyurdu,Yazyurdu,0,"38.79926, 36.9319"
Yahyalı,Yahyali,25019,"38.10228, 35.35704"
Uzungeçit,Uzungecit,3993,"37.49425, 42.99303"
Tuzlagözü,Tuzlagozu,0,"38.18022, 41.5687"
Şambayat,Sambayat,0,"37.68441, 38.04676"
Salihli,Salihli,88906,"38.48258, 28.14774"
Refahiye,Refahiye,5579,"39.89315, 38.76607"
Pınardere,Pinardere,4044,"37.47204, 40.83334"
Pervari,Pervari,5974,"37.93573, 42.54927"
Nurettin,Nurettin,0,"39.28104, 42.50746"
Niğde,Nigde,91039,"37.96583, 34.67935"
Kiruna,Kiruna,17037,"67.85572, 20.22513"
Burträsk,Burtraesk,1573,"64.51667, 20.65"
Vilhelmina,Vilhelmina,3572,"64.62417, 16.65596"
Viken,Viken,4489,"56.15063, 12.57429"
Vellinge,Vellinge,6496,"55.47124, 13.01971"
Ulricehamn,Ulricehamn,10629,"57.79159, 13.41422"
Trosa,Trosa,5836,"58.89621, 17.54812"
Svedala,Svedala,11796,"55.50788, 13.23515"
Strömstad,Stroemstad,7176,"58.93945, 11.1712"
Stavsnäs,Stavsnaes,1784,"59.28333, 18.68333"
Skattkärr,Skattkaerr,1979,"59.41208, 13.67078"
Östervåla,OEstervala,1696,"60.18333, 17.18333"
Myggenäs,Myggenaes,1460,"58.06176, 11.74936"
Mörbylånga,Moerbylanga,1824,"56.5248, 16.37877"
Kazlų Rūda,Kazlu Ruda,5666,"54.749, 23.49"
Kaunas,Kaunas,289380,"54.90272, 23.90961"
Ežerėlis,Ezerelis,2051,"54.88315, 23.60396"
Lazdynai,Lazdynai,31097,"54.66815, 25.20684"
Warken,Warken,1188,"49.85918, 6.08415"
Waldbredimus,Waldbredimus,416,"49.55676, 6.28789"
Lenningen,Lenningen,338,"49.60045, 6.36719"
Zelmeņi,Zelmeni,0,"56.45167, 23.35194"
Nīca,Nica,0,"56.34601, 21.06401"
Ķegums,Kegums,2372,"56.7451, 24.72439"
Aloja,Aloja,4520,"57.76723, 24.87743"
Ainaži,Ainazi,1278,"57.86348, 24.35853"
Bijelo Polje,Bijelo Polje,15400,"43.03834, 19.74758"
Mešeišta,Meseista,2452,"41.23814, 20.77414"
Labunista,Labunista,8805,"41.26861, 20.59611"
Kriva Palanka,Kriva Palanka,20820,"42.20088, 22.33244"
Ilovica,Ilovica,2042,"41.47224, 22.8048"
